formulation,model,n_runs,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std,roc_auc_mean,roc_auc_std,logloss_mean,logloss_std,runtime_seconds_mean,runtime_seconds_std
binary_0_vs_1_4,XGBoost_fixed,5,0.8184782608695652,0.03698049094826958,0.8149928263988523,0.03572470577310217,0.815713188868781,0.036855185003778705,0.8180802712675996,0.036720640951996945,0.8832855093256814,0.022980636222023787,0.42894348733169146,0.046000233650984275,0.10441713333129883,0.027054605157443155
multiclass_5class_0_1_2_3_4,RandomForest_balanced,5,0.5771739130434783,0.029115424426040988,0.3922075133027733,0.020119019462730085,0.39632079547445753,0.021878788866531412,0.5696269137644591,0.030711372241895907,0.8052939315092121,0.01465008247045776,1.0186492541187966,0.029563180774824442,1.0855302810668945,0.08359748974640256
ordinal_3class_0_vs_1_2_vs_3_4,LightGBM_fixed,5,0.6521739130434783,0.014379083212307561,0.5914519722975007,0.01426846900692142,0.593283380572678,0.014509979048136779,0.6506912149981788,0.01527143454564713,0.7980414136027336,0.024093604362715397,1.1288372578722476,0.1755909804558703,0.7326683044433594,0.46419739010082994
